MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250206, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250209, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250209, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250206, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250205, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250205, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250206, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250205, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250202, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250202, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250202, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250202, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250202, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250202, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250202, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250202, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250204, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250204, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250204, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250204, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250204, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250204, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250204, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250204, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250204, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250204, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250204, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250204, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250202, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250202, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250202, PERIODE: 0009
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250202, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250202, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250202, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250205, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250219, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250219, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250218, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250219, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250219, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250219, PERIODE: 0005
MONTTC: 1200.0, DATSAISIE: 20250416, DATFACT: 20250219, PERIODE: 0005
